Age,Gender,Education,Country,Cannabis,Alcohol,Nicotine,Neuroticism,Extraversion,Openness,Agreeableness
25-34,M,Doctorate degree,UK,4,5,4,0.413474338444917,0.7961059033027584,0.7625665124021545,0.6098269232989643
35-44,M,Professional certificate/ diploma,UK,3,6,0,0.4447879209710476,0.62297605629931,0.39293891708255474,0.26606068653373205
18-24,F,Masters degree,UK,2,4,2,0.49204471757671453,0.3768834397803252,0.5270227380925393,0.5852134304748929
35-44,F,Doctorate degree,UK,3,4,2,0.6232753413699915,0.2505444526914137,0.45699485389131966,0.456453717281114
65+,F,Left school at 18 years,Canada,0,2,6,0.413474338444917,0.45413310608351437,0.27831088455422526,0.7943862647069011
45-54,M,Masters degree,USA,1,6,6,0.4447879209710476,0.3332172648773798,0.45699485389131966,0.456453717281114
35-44,M,Left school at 16 years,UK,0,5,0,0.3170062434237767,0.7961059033027584,0.39293891708255474,0.456453717281114
35-44,F,Professional certificate/ diploma,Canada,0,4,6,0.6075769965376973,0.8929665570125203,0.372051674833294,0.6098269232989643
55-64,M,Masters degree,UK,1,6,6,0.4775499421960171,0.5005070358865339,0.29951874653876426,0.5852134304748929
25-34,F,University degree,UK,2,5,2,0.3578474657516967,0.62297605629931,0.3489427645193781,0.39017307670103574
45-54,M,"Some college or university, no certificate or degree",Other,4,5,6,0.3170062434237767,0.5005070358865339,0.5530463732726207,0.2220337955639714
55-64,F,University degree,UK,3,5,6,0.853317384677715,0.5256068394864888,0.6023408479258494,0.26606068653373205
55-64,F,Professional certificate/ diploma,Canada,0,1,1,0.3966659196917912,0.62297605629931,0.5270227380925393,0.635892343751804
55-64,F,Professional certificate/ diploma,UK,0,6,6,0.37744294175525245,0.7220893543844858,0.6023408479258494,0.4124903301042617
55-64,M,University degree,UK,1,5,0,0.20982771593386457,0.269701856789852,0.27831088455422526,0.3448010599360343
35-44,F,"Some college or university, no certificate or degree",UK,3,6,6,0.2839859964471698,0.3768834397803252,0.2580033486950129,0.5415415834382108
45-54,M,Left school at 16 years,UK,6,6,6,0.5915017014702543,0.3118820500132868,0.47869012264514527,0.43458965003637035
55-64,M,University degree,Australia,3,6,0,0.7178868822802223,0.47634799766641317,0.501355347062767,0.2220337955639714
35-44,M,Professional certificate/ diploma,UK,1,4,1,0.4624867733505088,0.23082808734456756,0.14170420724341518,0.2220337955639714
45-54,M,Professional certificate/ diploma,UK,2,6,3,0.3966659196917912,0.62297605629931,0.6472680931546068,0.732522024269995
65+,M,Left school before 16 years,UK,1,5,1,0.3368896262998476,0.572721469304475,0.3489427645193781,0.4124903301042617
45-54,M,University degree,UK,0,4,0,0.5759666028027882,0.3552519449102455,0.39293891708255474,0.6607887171079219
45-54,M,Left school at 16 years,UK,2,6,6,0.7521478001095234,0.0,0.3235992318080686,0.5415415834382108
55-64,M,University degree,UK,1,5,6,0.49204471757671453,0.5974043427929124,0.7309903263520275,0.6098269232989643
45-54,M,"Some college or university, no certificate or degree",UK,1,5,1,0.3966659196917912,0.43280400008552417,0.3235992318080686,0.635892343751804
55-64,F,Left school at 18 years,Canada,1,6,6,0.5064311568662079,0.2505444526914137,0.0,0.39017307670103574
35-44,M,University degree,UK,6,6,2,0.5915017014702543,0.3118820500132868,0.5270227380925393,0.49750458959230565
35-44,F,Masters degree,UK,1,6,0,0.520448066200772,0.269701856789852,0.41399780424060084,0.5415415834382108
45-54,M,Doctorate degree,UK,0,0,0,0.3170062434237767,0.7658746521764362,0.6731427535081953,0.635892343751804
45-54,M,Left school at 16 years,UK,2,6,2,0.5605621010671847,0.3768834397803252,0.3235992318080686,0.28646128000554216
35-44,F,Left school at 16 years,Other,0,3,1,0.3368896262998476,0.3768834397803252,0.5530463732726207,0.4124903301042617
35-44,M,University degree,UK,3,6,6,0.3966659196917912,0.3118820500132868,0.5270227380925393,0.5632901892413029
18-24,M,University degree,UK,0,6,0,0.5759666028027882,0.45413310608351437,0.5776515090178349,0.68561870013509
35-44,M,University degree,USA,2,4,5,0.6656807587681741,0.5974043427929124,0.6731427535081953,0.08121990786176961
65+,M,Left school before 16 years,UK,0,3,6,0.4775499421960171,0.3768834397803252,0.10394880447701739,0.456453717281114
